secretKey,secretId,mapName,levelMin,levelMax,hpMul,damageCutPct,atkMul,defMul,statMul,fireResAdd,waterResAdd,windResAdd,earthResAdd,lightResAdd,darkResAdd,extraNotes
Abandoned cave|000,10001,放棄された洞窟,250,250,,,,,,,,,,,,
bug_cave|001,10070,蟲巣窟の隠された洞窟,25,25,,,,,,,,,,,,
cave_of_Hesopar|000,10071,ヘソパルの洞窟,550,550,,,,,,,,,,,,
cave_of_bloodogre|000,10072,血塗られたオーガの洞窟,85,85,,,,,,,,,,,,
chaos_13|000,10073,混沌のダンジョン13段階,600,600,,,,,,,,,,,,
chaos_16|000,10074,混沌のダンジョン16段階,600,600,,,,,,,,,,,,
chaos_22|000,10078,混沌のダンジョン22段階,600,600,,,,,,,,,,,,
chaos_2|000,10079,混沌の大地2段階,600,600,,,,,,,,,,,,
chaos_3|000,10080,混沌の大地3段階,600,600,,,,,,,,,,,,
chaos_5|000,10081,混沌の大地5段階,600,600,,,,,,,,,,,,
chaos_6|000,10082,混沌の大地6段階,600,600,,,,,,,,,,,,
curse_tomb_tower|000,10086,呪いの墓に建つ呪われし塔,195,195,,,,,,,,,,,,
dead_treasure|000,10088,小さい傭兵墓に巣食う亡者共の宝物庫,225,225,,,,,,,,,,,,
destory_ruins|000,10089,崩壊した地下遺跡,950,950,,,,,,,,,,,,
drug_laboratory|000,10092,麻薬巣窟の隠された研究所,90,90,,,,,,,,,,,,
force_save|000,10093,討伐軍救出,250,250,,,,,,,,,,,,
hagu_treasure|000,10099,河口ダンジョンの隠された宝物部屋,160,160,,,,,,,,,,,,
hanov_pillow_hide|000,10100,ハノブ高台望楼の隠されたアジト,45,45,,,,,,,,,,,,
hanov_stower|000,10101,ハノブ南側望楼の隠された地下洞窟,130,130,,,,,,,,,,,,
imp_shelter|000,10102,インプの宝蔵,1000,1000,,,,,,,,,,,,
ironmine_hide|000,10103,鉄鉱山の隠された崩壊地域,65,65,,,,,,,,,,,,
mercenary_big|000,10105,傭兵達の大きな墓の不思議な妖怪部屋,95,95,,,,,,,,,,,,
mine_of_tatba|000,10106,タトバ鉱山の崩れた炭鉱,70,70,,,,,,,,,,,,
moliner tower|000,10108,モリネルタワーの隠された研究所,580,580,,,,,,,,,,,,
mysteryarea_of_Spain hall|000,10109,スパインホールのミステリーゾーン,450,450,,,,,,,,,,,,
mythrimine_hide|000,10111,ミスリル鉱山の隠された鉄鉱,55,55,,,,,,,,,,,,
nest_of_ifrit|000,10112,イフリィトの棲み処,100,100,,,,,,,,,,,,
nest_of_kingcrab|000,10113,キングクラブの巣,260,260,,,,,,,,,,,,
nest_of_thief|000,10114,盗賊団,250,250,,,,,,,,,,,,
oger_jail|000,10115,オーガ巣窟の隠された監獄,65,65,,,,,,,,,,,,
out_of_control|000,10116,暴走の根源地,850,850,,,,,,,,,,,,
patrol_tomb|000,10117,警備兵墓の封印された魂の迷宮,80,80,,,,,,,,,,,,
queen|000,10119,女王の墓,160,160,,,,,,,,,,,,
redeye_laboratory|000,10120,旧レッドアイ研究所の隠された通路,55,55,,,,,,,,,,,,
robber_hideway|000,10122,路上強盗団アジトの隠された隠れ家,30,30,,,,,,,,,,,,
ruin_goldmine|000,10123,廃坑の隠された金鉱,80,80,,,,,,,,,,,,
ruins_of_oldcastle|000,10124,古代王の墓,1,1,,,,,,,,,,,,
sacrifice_altar|000,10125,犠牲祭の祭壇,850,850,,,,,,,,,,,,
sealedarea_of_darksoul|000,10127,ダークソウルの封印場所,290,290,,,,,,,,,,,,
smug_under|000,10129,スマグ地下道の隠された地下迷宮,70,70,,,,,,,,,,,,
swebtower|000,10133,レッドアイ特殊エージェントのアジト,340,340,,,,,,,,,,,,
tantillessB3|000,10136,古代都市タティリス遺跡　Ｂ３,1,1,,,,,,,,,,,,
theif_warehouse_hide|000,10154,シーフギルド倉庫の隠された部屋,90,90,,,,,,,,,,,,
tiamath|000,10155,果てしない砂漠,245,245,,,,,,,,,,,,
tomb|000,10157,地下墓地の隠された迷路,15,15,,,,,,,,,,,,
vampirekingdom|001,10159,ヴァンパイア・キングダム,680,680,,,,,,,,,,,,
vampirekingdom|002,10160,ヴァンパイア・キングダム,680,680,,,,,,,,,,,,
water_dragon|000,10163,凍りついた城,240,240,,,,,,,,,,,,
well_of_hide|000,10164,枯れ井戸の隠された迷宮,5,5,,,,,,,,,,,,
wolf_cave|000,10165,狼巣窟の隠された通路,20,20,,,,,,,,,,,,
wolf_cave|001,10166,狼巣窟の隠された通路,20,20,,,,,,,,,,,,
